id,Ag_Pot_Maj,1997_Perc_Anthro,2011_Perc_Anthro,2013_Perc_Anthro,Cons_AOD,Biodiv_Pri,Clim_Zone,ClimChgZon,AvgD_FedCU,AvgD_StaCU,AvgD_Log,AvgDist0_97,AvgDist2_00,AvgDist5_03,AvgDist6_04,AvgDist7_05,AvgDist8_06,AvgDist9_07,AvgDist10_08,AvgDist11_13,AvgDist12_14,AvgDist_15,AvgD_Rail,AvgD_Mine,AvgD_City,AvgD_MajCi,Cons_Ecosy,AreaForRes,AreaOvLR,DomSoil,ConsTrdPop,DomVegetat
153,2,0.619160821,0.611567266,,,100,3,5,23005.75032,49239.62783,154135.2454,320826.0868,344617.6832,2390827.952,2390827.952,344617.6832,2684038.792,2501008.307,1115085.765,2317318.539,381043.3945,344617.6832,1516545.671,248700.2693,58269.66741,53826.08984,,,,13,100,20
155,8,96.99207323,97.67075939,47.50775148,,99.99999866,1,6,35307.09315,10266.77836,525123.2524,0,139722.1082,1789535.548,1789535.548,112582.6358,2185769.519,2120331.808,548725.1683,1808899.221,823477.0577,139722.1082,970365.8654,148120.4135,8107.529823,NA,,,,6,100.0000011,2
162,2,1.301821455,1.302654549,,,100,2,6,18395.2021,154514.415,259281.8619,217956.3836,255740.2341,2348912.832,2348912.832,255740.2341,2658011.255,2501701.555,1064565.418,2321438.499,340799.0016,255740.2341,1475625.741,308153.455,116101.7066,111550.2663,,,,6,99.99999998,20
163,8,,,,100,99.99999997,5,7,170.9483512,204115.0105,305448.4126,713477.9832,538281.6131,1193406.368,1203619.873,665314.343,1186527.828,773865.6219,541116.1293,583416.467,429383.2316,538281.6131,522891.1274,60604.06818,47890.55073,64060.11458,,,5.283578987,21,,21
167,8,7.922336524,7.896170514,6.251276359,67.68031718,,5,4,161087.9082,275603.793,80894.73167,873756.9122,196843.6627,1771907.649,1773348.511,986988.7306,1825922.019,1546401.75,180129.1797,1348165.355,27760.43148,196843.6627,717127.9586,16291.52373,63173.0797,81688.34473,0.727932664,,10.50295515,10,,20
173,3,,,,,95.44241953,5,4,142275.9311,325689.7541,137167.7502,490972.5878,486030.0199,1066067.348,1066067.348,740726.7034,1605224.703,1533743.012,423734.1817,1076725.492,1616405.512,486030.0199,540726.7591,270639.2054,95848.90939,103601.0013,,,,20,,2
177,2,,,,,100.0000001,3,6,111115.802,290375.4796,365431.3108,221957.3941,316518.4414,2705715.928,2705715.928,593927.4472,3006697.107,2820843.227,1422207.653,2635594.884,161999.1848,316518.4414,1754332.345,546197.0803,47521.91268,155362.7552,,,,9,99.99999996,17
178,2,,,,,100.0000002,3,6,2172.165527,417471.5612,502707.8904,87551.93091,180931.0269,2784968.287,2784968.287,649803.9212,3101653.003,2937412.604,1496280.306,2754346.217,19118.73146,180931.0269,1896938.159,674567.9078,65503.26934,55962.71484,,100.0000002,,16,100.0000003,17
179,2,,,,80.09964483,95.78723624,2,6,23373.7241,514604.2019,607667.3653,10556.85718,64597.58105,2817836.091,2817836.091,685509.1129,3155538.298,3013008.317,1535387.562,2832423.208,3299.635708,64597.58105,1957716.967,769138.2034,31093.07643,NA,,,,6,55.90271572,17
185,8,5.015682034,5.014969732,,,66.84753712,3,6,232690.9464,218729.6423,256690.0813,185122.4579,129786.6783,2038095.776,2038095.776,129786.6783,2340983.803,2194195.394,762078.8665,2017115.539,639257.4258,129786.6783,1163878.159,212695.598,69635.37335,70681.75781,,,,6,100.0000001,20
188,2,57.85916952,57.63755439,43.5173037,99.99999996,,3,6,113226.4122,106026.9251,69930.12375,0,46094.24434,1224000.98,1224000.98,444804.2208,1551199.679,1488629.795,46094.24434,1251088.006,1042901.052,46094.24434,350175.9863,14492.01001,20114.68957,17696.96484,,,99.99999996,11,99.99999988,20
196,2,,,,,100,2,6,46879.32745,373638.9787,463872.6661,137174.1442,194531.8401,2730646.242,2730646.242,595632.6116,3048013.122,2887015.25,1441940.167,2704520.855,57258.32528,194531.8401,1859427.256,629652.8807,90940.61985,118714.8516,,99.77236514,,18,99.99999982,1
198,2,,,,,99.18762091,3,6,62031.99062,367779.402,434984.4074,171714.8766,299348.1864,2787802.598,2787802.598,672745.0035,3088368.063,2898566.401,1503977.661,2712625.522,136221.8824,299348.1864,1791944.128,621091.1345,50649.64765,109002.8932,,,,18,99.13034985,17
199,2,1.069606522,1.050840228,,,12.64402448,2,6,144723.5902,281397.8368,398228.0651,148040.0322,249763.7864,2385739.066,2385739.066,249763.7864,2719377.066,2595857.678,1099107.293,2404207.817,239331.7102,249763.7864,1520637.02,457167.7796,63376.65083,98888.0878,,,,6,100,20
